# Moriyama-Takeuchi example of a 2-dim simplicial complex.
#   V7F13
#
# taken from:
#  Sonoko Moriyama, "Extendable shellability in dimension two",
#  Bachelor's thesis, University of Tokyo, 2000.
# and
#  Sonoko Moriyama and Fumihiko Takeuchi, "Incremental construction
#    properties in dimension two --- shellability, extendable shellability
#    and vertex decomposability", preprint.
#
#  This is the same example as shown in
#  Masharo Hachimori, "Combinatorics of constructible complexes",
#  Doctoral thesis, University of Tokyo, 2000. (Section 5.3)
1 2 5
1 2 6
1 2 7
1 3 4
1 4 5
1 6 7
2 3 4
2 3 5
2 3 6
2 4 7
3 5 6
4 5 7
5 6 7
