0 1 17 28 69 88 
0 2 14 64 83 95 
0 2 20 22 31 88 
0 2 45 62 77 90 
0 2 51 55 76 89 
0 2 64 73 76 89 
0 5 14 59 65 90 
0 7 19 24 77 80 
0 8 18 24 34 72 
0 14 45 73 84 85 
0 14 49 53 60 95 
0 15 43 55 62 74 
0 17 20 23 52 99 
0 18 30 34 63 67 
0 21 34 41 47 48 
0 24 34 50 54 98 
0 26 31 51 54 56 
0 26 42 63 84 87 
0 29 55 72 92 98 
0 32 49 56 58 87 
0 37 60 79 81 83 
0 41 49 57 72 85 
0 68 80 87 91 96 
1 2 40 43 79 84 
1 5 21 41 53 55 
1 10 20 37 46 99 
1 12 21 23 83 94 
1 12 41 51 71 97 
1 13 16 83 93 95 
1 16 26 29 49 93 
1 16 58 77 88 89 
1 19 35 66 83 90 
1 19 52 75 76 82 
1 19 65 66 78 87 
1 22 26 69 74 89 
1 25 38 59 61 83 
1 32 51 53 63 80 
1 35 37 63 90 91 
1 37 38 44 74 77 
1 43 54 56 74 82 
1 48 71 85 92 99 
2 3 23 36 42 71 
2 6 19 42 61 98 
2 8 19 35 66 83 
2 8 58 65 84 88 
2 12 13 14 74 90 
2 14 19 28 39 52 
2 17 19 64 67 89 
2 17 27 41 53 91 
2 17 41 52 63 65 
2 19 47 64 83 99 
2 22 57 58 69 83 
2 31 60 69 77 99 
2 41 58 64 70 89 
2 52 70 75 90 93 
3 7 20 59 68 93 
3 8 25 45 52 66 
3 12 20 44 51 79 
3 12 47 80 93 99 
3 14 36 55 56 65 
3 16 40 51 59 81 
3 18 21 32 37 66 
3 20 34 38 56 93 
3 20 56 68 89 97 
3 21 27 29 36 67 
3 22 55 63 72 96 
3 23 40 45 46 67 
3 28 32 72 79 89 
3 32 40 63 71 72 
3 33 51 52 75 80 
3 38 46 71 84 85 
3 39 63 75 87 98 
3 43 76 85 90 91 
3 66 69 80 89 98 
4 6 13 15 57 67 
4 7 13 24 30 87 
4 8 20 51 53 87 
4 10 20 40 79 80 
4 14 26 55 78 94 
4 15 21 56 81 88 
4 15 39 44 48 79 
4 17 31 38 57 65 
4 19 21 33 48 86 
4 20 45 79 89 95 
4 22 38 71 74 89 
4 28 32 73 76 85 
4 29 48 60 70 81 
4 30 39 56 89 99 
4 32 35 45 52 71 
4 38 62 66 70 97 
