# Gr\"unbaum's non-shellable ball,
#  taken from
#  G.Danaraj and V.Klee, "Which spheres are shellable?",
#  Annals of Discrete Mathematics 2(1978), 33-52.
#  (Modified "1 7 8 9" ---> "1 7 8 10"
#    because the description of the paper
#    ("1 7 8 9") is a typo.)
#
#    f=(1,14,54,70,29).
1 2 3 7
1 2 4 8
1 2 7 8
1 3 5 7
1 4 8 10
1 5 6 13
1 5 7 13
1 6 11 13
1 7 8 10
1 7 11 13
2 3 7 9
2 4 6 8
2 5 6 14
2 5 12 14
2 6 8 14
2 7 8 9
2 8 12 14
3 5 7 9
4 6 8 10
5 6 13 14
5 7 9 13
5 12 13 14
6 8 10 14
6 11 13 14
7 8 9 13
7 8 10 14
7 8 13 14
7 11 13 14
8 12 13 14
