# Rudin's unshellable ball,
#  taken from
#  G.Danaraj and V.Klee, "Which spheres are shellable?",
#  Annals of Discrete Mathematics 2(1978), 33-52.
#
#    f=(1,14,66,94,41).
3 4 7 11
4 5 8 12
5 6 9 13
6 3 10 14
3 4 7 12
4 5 8 13
5 6 9 14
6 3 10 11
4 7 11 12
5 8 12 13
6 9 13 14
3 10 14 11
4 8 11 12
5 9 12 13
6 10 13 14
3 7 14 11
11 12 13 14
7 11 12 13
8 12 13 14
9 13 14 11
10 14 11 12
3 7 12 13
4 8 13 14
5 9 14 11
6 10 11 12
3 9 12 13
4 10 13 14
5 7 14 11
6 8 11 12
1 3 9 13
2 4 10 14
1 5 7 11
2 6 8 12
1 3 7 13
2 4 8 14
1 5 9 11
2 6 10 12
1 7 11 13
2 8 12 14
1 9 13 11
2 10 14 12
